timestamp,electricity_pricing-$/kWh,electricity_pricing_predicted_1-$/kWh,electricity_pricing_predicted_2-$/kWh,electricity_pricing_predicted_3-$/kWh
2024-08-01T00:00:00,0.16464,0.15015,0.13901,0.15395
2024-08-01T01:00:00,0.15748,0.15015,0.14513,0.15643
2024-08-01T02:00:00,0.15333,0.148,0.14065,0.15181
2024-08-01T03:00:00,0.15015,0.15015,0.14478,0.145
2024-08-01T04:00:00,0.14802,0.14513,0.14201,0.14478
2024-08-01T05:00:00,0.14739,0.12499,0.14013,0.14965
2024-08-01T06:00:00,0.15015,0.13901,0.14739,0.15333
2024-08-01T07:00:00,0.15015,0.14513,0.148,0.15443
2024-08-01T08:00:00,0.148,0.14065,0.15333,0.15262
2024-08-01T09:00:00,0.15015,0.14478,0.15943,0.15181
2024-08-01T10:00:00,0.14513,0.14201,0.16509,0.147
2024-08-01T11:00:00,0.12499,0.14013,0.165,0.13
2024-08-01T12:00:00,0.13901,0.14739,0.15395,0.129
2024-08-01T13:00:00,0.14513,0.148,0.15643,0.13107
2024-08-01T14:00:00,0.14065,0.15333,0.15181,0.14
2024-08-01T15:00:00,0.14478,0.15943,0.145,0.14663
2024-08-01T16:00:00,0.14201,0.16509,0.14478,0.14713
2024-08-01T17:00:00,0.14013,0.165,0.14965,0.14739
2024-08-01T18:00:00,0.14739,0.15395,0.15333,0.14965
2024-08-01T19:00:00,0.148,0.15643,0.15443,0.15213
2024-08-01T20:00:00,0.15333,0.15181,0.15262,0.16157
2024-08-01T21:00:00,0.15943,0.145,0.15181,0.17
2024-08-01T22:00:00,0.16509,0.14478,0.147,0.18
2024-08-01T23:00:00,0.165,0.14965,0.13,0.175
2024-08-02T00:00:00,0.15395,0.15333,0.129,0.16463
2024-08-02T01:00:00,0.15643,0.15443,0.13107,0.16967
2024-08-02T02:00:00,0.15181,0.15262,0.14,0.161
2024-08-02T03:00:00,0.145,0.15181,0.14663,0.15315
2024-08-02T04:00:00,0.14478,0.147,0.14713,0.147
2024-08-02T05:00:00,0.14965,0.13,0.14739,0.14456
2024-08-02T06:00:00,0.15333,0.129,0.14965,0.14901
2024-08-02T07:00:00,0.15443,0.13107,0.15213,0.155
2024-08-02T08:00:00,0.15262,0.14,0.16157,0.16206
2024-08-02T09:00:00,0.15181,0.14663,0.17,0.16206
2024-08-02T10:00:00,0.147,0.14713,0.18,0.15115
2024-08-02T11:00:00,0.13,0.14739,0.175,0.132
2024-08-02T12:00:00,0.129,0.14965,0.16463,0.12765
2024-08-02T13:00:00,0.13107,0.15213,0.16967,0.13366
2024-08-02T14:00:00,0.14,0.16157,0.161,0.12765
2024-08-02T15:00:00,0.14663,0.17,0.15315,0.129
2024-08-02T16:00:00,0.14713,0.18,0.147,0.126
2024-08-02T17:00:00,0.14739,0.175,0.14456,0.126
2024-08-02T18:00:00,0.14965,0.16463,0.14901,0.129
2024-08-02T19:00:00,0.15213,0.16967,0.155,0.13104
2024-08-02T20:00:00,0.16157,0.161,0.16206,0.15156
2024-08-02T21:00:00,0.17,0.15315,0.16206,0.168
2024-08-02T22:00:00,0.18,0.147,0.15115,0.176
2024-08-02T23:00:00,0.175,0.14456,0.132,0.17223
2024-08-03T00:00:00,0.16463,0.14901,0.12765,0.16395
2024-08-03T01:00:00,0.16967,0.155,0.13366,0.17
2024-08-03T02:00:00,0.161,0.16206,0.12765,0.16092
2024-08-03T03:00:00,0.15315,0.16206,0.129,0.1523
2024-08-03T04:00:00,0.147,0.15115,0.126,0.144
2024-08-03T05:00:00,0.14456,0.132,0.126,0.14
2024-08-03T06:00:00,0.14901,0.12765,0.129,0.14895
2024-08-03T07:00:00,0.155,0.13366,0.13104,0.15
2024-08-03T08:00:00,0.16206,0.12765,0.15156,0.16
2024-08-03T09:00:00,0.16206,0.129,0.168,0.16
2024-08-03T10:00:00,0.15115,0.126,0.176,0.15
2024-08-03T11:00:00,0.132,0.126,0.17223,0.14709
2024-08-03T12:00:00,0.12765,0.129,0.16395,0.14709
2024-08-03T13:00:00,0.13366,0.13104,0.17,0.14709
2024-08-03T14:00:00,0.12765,0.15156,0.16092,0.1455
2024-08-03T15:00:00,0.129,0.168,0.1523,0.13601
2024-08-03T16:00:00,0.126,0.176,0.144,0.13
2024-08-03T17:00:00,0.126,0.17223,0.14,0.125
2024-08-03T18:00:00,0.129,0.16395,0.14895,0.125
2024-08-03T19:00:00,0.13104,0.17,0.15,0.12499
2024-08-03T20:00:00,0.15156,0.16092,0.16,0.14
2024-08-03T21:00:00,0.168,0.1523,0.16,0.15501
2024-08-03T22:00:00,0.176,0.144,0.15,0.16501
2024-08-03T23:00:00,0.17223,0.14,0.14709,0.16195
2024-08-04T00:00:00,0.16395,0.14895,0.14709,0.1477
2024-08-04T01:00:00,0.17,0.15,0.14709,0.15501
2024-08-04T02:00:00,0.16092,0.16,0.1455,0.1281
2024-08-04T03:00:00,0.1523,0.16,0.13601,0.1224
2024-08-04T04:00:00,0.144,0.15,0.13,0.1203
2024-08-04T05:00:00,0.14,0.14709,0.125,0.1203
2024-08-04T06:00:00,0.14895,0.14709,0.125,0.1223
2024-08-04T07:00:00,0.15,0.14709,0.12499,0.125
2024-08-04T08:00:00,0.16,0.1455,0.14,0.13365
2024-08-04T09:00:00,0.16,0.13601,0.15501,0.1319
2024-08-04T10:00:00,0.15,0.13,0.16501,0.133
2024-08-04T11:00:00,0.14709,0.125,0.16195,0.124
2024-08-04T12:00:00,0.14709,0.125,0.1477,0.1224
2024-08-04T13:00:00,0.14709,0.12499,0.15501,0.127
2024-08-04T14:00:00,0.1455,0.14,0.1281,0.13501
2024-08-04T15:00:00,0.13601,0.15501,0.1224,0.12843
2024-08-04T16:00:00,0.13,0.16501,0.1203,0.1261
2024-08-04T17:00:00,0.125,0.16195,0.1203,0.124
2024-08-04T18:00:00,0.125,0.1477,0.1223,0.1261
2024-08-04T19:00:00,0.12499,0.15501,0.125,0.14257
2024-08-04T20:00:00,0.14,0.1281,0.13365,0.15
2024-08-04T21:00:00,0.15501,0.1224,0.1319,0.16011
2024-08-04T22:00:00,0.16501,0.1203,0.133,0.164
2024-08-04T23:00:00,0.16195,0.1203,0.124,0.164
2024-08-05T00:00:00,0.1477,0.1223,0.1224,0.16011
2024-08-05T01:00:00,0.15501,0.125,0.127,0.16293
2024-08-05T02:00:00,0.1281,0.13365,0.13501,0.16293
2024-08-05T03:00:00,0.1224,0.1319,0.12843,0.155
2024-08-05T04:00:00,0.1203,0.133,0.1261,0.155
2024-08-05T05:00:00,0.1203,0.124,0.124,0.13801
2024-08-05T06:00:00,0.1223,0.1224,0.1261,0.1401
2024-08-05T07:00:00,0.125,0.127,0.14257,0.1481
2024-08-05T08:00:00,0.13365,0.13501,0.15,0.155
2024-08-05T09:00:00,0.1319,0.12843,0.16011,0.155
2024-08-05T10:00:00,0.133,0.1261,0.164,0.129
2024-08-05T11:00:00,0.124,0.124,0.164,0.12192
2024-08-05T12:00:00,0.1224,0.1261,0.16011,0.12192
2024-08-05T13:00:00,0.127,0.14257,0.16293,0.12192
2024-08-05T14:00:00,0.13501,0.15,0.16293,0.12569
2024-08-05T15:00:00,0.12843,0.16011,0.155,0.12192
2024-08-05T16:00:00,0.1261,0.164,0.155,0.12192
2024-08-05T17:00:00,0.124,0.164,0.13801,0.12192
2024-08-05T18:00:00,0.1261,0.16011,0.1401,0.12192
2024-08-05T19:00:00,0.14257,0.16293,0.1481,0.13355
2024-08-05T20:00:00,0.15,0.16293,0.155,0.16
2024-08-05T21:00:00,0.16011,0.155,0.155,0.1677
2024-08-05T22:00:00,0.164,0.155,0.129,0.18
2024-08-05T23:00:00,0.164,0.13801,0.12192,0.17486
2024-08-06T00:00:00,0.16011,0.1401,0.12192,0.1677
2024-08-06T01:00:00,0.16293,0.1481,0.12192,0.16395
2024-08-06T02:00:00,0.16293,0.155,0.12569,0.163
2024-08-06T03:00:00,0.155,0.155,0.12192,0.14601
2024-08-06T04:00:00,0.155,0.129,0.12192,0.1351
2024-08-06T05:00:00,0.13801,0.12192,0.12192,0.1417
2024-08-06T06:00:00,0.1401,0.12192,0.12192,0.1519
2024-08-06T07:00:00,0.1481,0.12192,0.13355,0.151
2024-08-06T08:00:00,0.155,0.12569,0.16,0.1635
2024-08-06T09:00:00,0.155,0.12192,0.1677,0.1635
2024-08-06T10:00:00,0.129,0.12192,0.18,0.16615
2024-08-06T11:00:00,0.12192,0.12192,0.17486,0.16764
2024-08-06T12:00:00,0.12192,0.12192,0.1677,0.17
2024-08-06T13:00:00,0.12192,0.13355,0.16395,0.115
2024-08-06T14:00:00,0.12569,0.16,0.163,0.115
2024-08-06T15:00:00,0.12192,0.1677,0.14601,0.1131
2024-08-06T16:00:00,0.12192,0.18,0.1351,0.10958
2024-08-06T17:00:00,0.12192,0.17486,0.1417,0.10359
2024-08-06T18:00:00,0.12192,0.1677,0.1519,0.11046
2024-08-06T19:00:00,0.13355,0.16395,0.151,0.1131
